cgdppc,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Bolivia (Plurinational State of),Brazil,Barbados,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Côte d'Ivoire,Cameroon,D.R. of the Congo,Congo,Colombia,Comoros,Cabo Verde,Costa Rica,Czechoslovakia,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Spain,Estonia,Ethiopia,Finland,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,"China, Hong Kong SAR",Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran (Islamic Republic of),Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyzstan,Cambodia,Republic of Korea,Kuwait,Lao People's DR,Lebanon,Liberia,Libya,Saint Lucia,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Republic of Moldova,Madagascar,Mexico,TFYR of Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Poland,Puerto Rico,D.P.R. of Korea,Portugal,Paraguay,State of Palestine,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan (Former),Senegal,Singapore,Sierra Leone,El Salvador,Serbia,Sao Tome and Principe,Former USSR,Slovakia,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Trinidad and Tobago,Tunisia,Turkey,"Taiwan, Province of China",U.R. of Tanzania: Mainland,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Former Yugoslavia,South Africa,Zambia,Zimbabwe
year,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BOL,BRA,BRB,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CSK,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SRB,STP,SUN,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,YUG,ZAF,ZMB,ZWE
2000,735,1647,5183,105222,14918,3324,36001,35714,2576,962,33427,1489,1355,1369,8671,27598,5874,8587,2984,8316,20603,9525,911,37446,42752,10903,4071,2127,2252,443,2727,6860,1464,3636,9500,16153,4882,25493,19759,33975,2415,8816,35923,7534,8255,5028,5269,26424,11903,608,32972,31771,10502,34390,3429,2337,1059,1812,1357,12774,23138,4773,38153,3545,14326,1934,14757,3472,2003,39152,7573,3147,35630,29914,33185,5342,3896,33294,5704,2086,2012,1289,22930,43918,1994,11232,524,22225,6731,4391,2074,11112,63619,10654,4580,1801,975,11338,8183,885,24038,1427,7182,2737,606,1945,14700,873,12269,5204,669,2657,2724,39923,54594,1392,25868,18742,2608,9160,4777,4187,13207,32527,1624,21497,3734,3850,66021,7430,8604,705,20129,1783,1850,39287,998,5076,7622,1909,7633,13818,21555,36374,7297,16794,4946,989,1160,6921,1273,4089,12674,8440,11830,31937,1137,1129,4448,11208,45887,3378,7927,2243,3068,9770,8478,1153,2696
2001,692,1894,5409,96214,13913,3509,36266,34946,2770,959,33294,1548,1315,1384,9121,25929,5882,8345,3057,8188,18506,9348,912,36884,42350,10750,4400,2302,2244,432,2448,6813,1589,3734,9500,17104,5061,26042,20890,34560,2202,6775,35812,8137,8153,5312,5485,27372,12534,668,33349,32740,9103,35182,3619,2145,1067,1805,1356,20825,24271,4967,40623,3515,14402,1866,15950,3506,2086,41687,8709,3653,36597,29846,34002,5256,4059,33086,6417,2103,1968,1364,23412,38525,2048,11567,617,21856,5446,4295,2217,11968,58641,11407,4614,1892,1004,11300,8124,1034,21156,1471,7743,3027,642,1938,14208,792,11799,5260,708,2676,2792,40005,54330,1310,26194,19965,2575,9134,4756,4133,13286,34506,1671,21556,3850,3327,65254,8344,8892,765,18761,1686,1866,35420,1071,5199,7392,2085,8004,14770,21845,35603,7372,14540,4990,1071,1131,7120,1391,4457,11702,8478,11025,30780,1202,1168,4798,10641,45878,3557,7500,2362,3096,9724,8678,1225,2624
2002,1088,2133,5489,92970,11871,3803,37409,35923,2906,967,34649,1662,1283,1443,9647,24009,6147,8543,3158,8190,17306,10876,897,37037,43040,10736,4793,2251,2263,435,2518,6846,1671,3864,9507,17503,5133,25488,21020,34674,2067,7007,36443,8116,8462,5794,5527,28263,13529,595,33569,33151,9611,35384,3865,2191,1086,1661,1296,24311,25790,5074,43738,3613,14892,1843,16957,3521,2177,46410,10106,3831,36670,29797,32909,5327,4475,33215,6803,1995,1958,1436,25246,40318,2145,11848,775,21133,5384,4478,2268,12456,58883,12325,4509,2104,903,11311,7866,1021,21791,1442,7614,3295,768,2056,14128,888,12341,5377,721,2897,2813,40263,53736,1287,26709,20331,2648,9499,5009,4121,13713,34778,1678,21739,4934,2849,66101,8776,9248,878,20208,1733,1820,38444,1179,5444,7771,2061,8361,15208,22665,36192,6292,15307,5156,1127,1174,7586,1462,5363,12411,8265,10973,31872,1282,1199,5053,9739,46267,3745,7122,2573,3127,9872,9147,1323,2376
2003,1112,2146,5804,93566,12636,4347,37889,35820,3084,998,34312,1719,1263,1468,9937,28075,6013,9041,3251,8038,17083,10503,840,37953,42541,11140,5122,2147,2320,458,2492,6982,1535,4067,9577,17925,5201,23684,21666,34976,2330,6567,35631,7617,9071,6021,5591,27722,14221,629,33435,31556,10415,35354,4396,2222,1046,1826,1291,26834,25577,5183,44560,3716,15515,1820,17058,3496,2351,48492,11245,2898,35177,28152,32463,5925,4501,33576,7600,1904,2109,1526,26041,47791,2136,12122,349,23398,6131,4785,2298,13628,56075,12818,4608,2368,993,11480,7684,1039,22007,1642,7885,3570,827,2304,13834,893,12765,5331,748,2998,2906,39325,55874,1394,26820,22826,2717,10558,5257,4153,13678,34772,1696,21398,5092,3217,84196,9142,10121,868,21012,1838,1852,34843,1148,5706,8199,2088,9209,15107,22656,36813,6208,16169,4929,1242,1103,8309,1738,6408,16095,8350,10387,32623,1330,1223,5663,9585,47158,3960,6740,2756,3154,10055,9250,1434,1958
2004,1107,2538,6094,92250,13664,4633,39031,36845,3305,1025,34665,1783,1255,1479,10492,29711,5812,9760,3393,8365,17620,10827,851,39211,43768,12119,5595,2024,2324,488,2991,7240,1477,4361,9869,18419,5170,23995,22396,35908,2558,6611,37121,7791,9516,6593,5736,28220,15070,658,35055,32202,12416,36320,4780,2398,1021,2119,1322,32354,26579,5310,51289,3855,16009,1711,17035,3758,2502,51086,12682,4314,36891,27645,32380,6048,4952,34354,8687,1923,2203,1600,27413,57757,2282,12911,589,23943,6938,4926,2284,13928,53255,13412,4537,2504,1058,12193,7917,1072,20814,1754,8368,4188,844,2359,13680,1022,13695,5719,696,3131,3031,39959,60079,1335,26753,27859,2892,10600,5616,4197,14183,35820,1720,21135,5266,3543,96865,10032,11526,930,24468,1922,1847,40944,1100,5882,8422,2204,10135,15335,23639,38522,6215,16001,5127,1596,1114,8898,1965,7368,17943,8449,11558,34197,1363,1254,6285,9849,48493,4125,8580,2961,3187,10076,9628,1461,1813
2005,1187,3364,6499,94516,14832,5172,41158,37653,4806,1006,35284,1829,1299,1539,11102,36665,6480,10303,3592,8639,17066,12113,864,41139,45532,13309,6338,2015,2364,543,3910,7688,1500,4315,10129,19512,5248,25073,23293,37305,2702,6952,38005,8614,10795,7369,6008,29465,16870,771,35871,33428,16465,37724,5242,2431,1008,2048,1318,34251,25792,5445,49910,4123,16654,1761,17676,4067,2789,53476,14706,4589,36512,27294,32926,6232,5897,35292,10331,2008,2228,1881,28995,71115,2329,13149,606,25893,7254,5067,2323,15036,53088,14485,4440,2816,1096,13018,8724,1123,21531,2031,8951,4943,896,2648,13042,1057,14931,6171,704,3173,3240,42550,70877,1353,26840,29806,3162,12800,6181,4268,14724,35158,1774,22812,5402,3787,115017,10347,13406,1009,28910,2201,1945,48335,1077,6380,9583,2399,11532,16904,24405,37974,6880,17501,5273,1667,1121,9584,2064,8840,21837,8656,12570,36054,1496,1353,7364,10343,49655,4360,10725,3218,3272,10812,10241,1597,1660
2006,1257,4558,7111,95394,15871,5925,41311,39100,6827,936,35065,1821,1324,1657,12210,38190,7038,11593,3724,9324,16521,12363,869,41678,48406,15487,6937,2078,2418,560,4249,8325,1556,4531,10411,20792,5923,25929,24420,38784,2830,7608,39921,9438,11585,7794,6337,31493,18829,760,36964,34098,15439,38251,6105,2329,993,1899,1286,35469,27650,5650,49244,4188,17434,1719,18268,4420,3060,53809,15617,5177,34555,27897,34003,6659,6467,35572,12372,2151,2562,1989,29850,80587,2302,12358,789,27106,5342,5527,2435,16357,55818,16244,4834,3114,1125,13713,9142,1206,22106,2263,11725,5774,919,2909,13815,996,15295,6725,722,3289,3332,44600,74670,1413,27071,39058,3408,13856,6936,4422,15415,34810,1745,23852,5673,3601,123960,11897,15409,1121,31838,2657,1937,57244,1078,6739,10238,2475,13105,18307,24833,39748,6524,20090,4954,1551,1135,10184,2282,9423,25330,9116,13731,36840,1599,1399,8256,10890,50490,4193,12307,3419,3307,11508,10861,1806,1587
2007,1447,5314,7673,88942,17303,6751,42278,40418,9354,868,35943,1887,1289,1813,13709,38858,7747,12775,3882,10264,18170,12525,887,42449,52541,16392,7482,2097,2411,583,3429,9060,1463,5156,10921,23306,6054,26591,26622,41047,2798,8274,40664,10182,11751,8033,7086,33516,21139,889,39772,35855,15961,38071,7004,2432,1091,1873,1280,40229,28325,5926,52209,4381,19299,1746,18711,4843,3333,55953,16964,5922,36319,28397,35759,6997,7463,36054,14209,2239,2899,2197,31144,81001,2969,13296,711,27953,7842,6020,2393,18024,59983,17941,5168,3259,1124,14180,9797,1266,23227,2487,13656,6579,944,2831,15139,1164,16511,6878,715,4136,3549,47515,74813,1496,29007,42888,3559,13125,7607,4683,17025,34607,1714,25004,5786,3760,126927,13566,17799,1053,33516,2869,2006,61178,1122,7205,10543,2440,15141,20526,25897,42314,7033,23664,5195,1593,1125,10835,2359,10069,27979,9625,14532,37808,1743,1449,9452,11896,50902,4944,13677,3814,3500,12318,11347,2345,1522
2008,1464,6318,8617,83881,18283,7360,43965,40828,10216,843,36634,1897,1295,1997,14734,46926,8228,14781,4305,11352,16860,12318,880,43642,54830,15817,7741,2215,2414,608,3875,9764,1538,5528,11391,23677,6336,29136,25857,41333,2983,9275,41520,10224,12270,8790,8191,33492,20883,989,40357,35755,18388,37657,7458,2647,1163,1820,1275,46643,29288,6051,45074,4070,20406,1660,19457,5790,3754,49308,16991,7075,39947,28071,35938,6813,9342,35257,16214,2272,3354,2389,30412,90071,3240,14456,873,31457,9261,6451,2527,18693,55292,18225,5803,3503,1208,14442,10750,1382,23157,2737,15054,7034,974,2695,15152,1262,17770,7499,748,4218,3704,47481,81923,1644,29132,50637,3761,13887,8272,4898,17677,34168,1757,24575,5980,3967,145029,15620,20022,1190,39887,3060,1987,50435,1183,7316,11719,2534,16336,21876,27380,42310,6696,18236,5307,1605,1119,11392,2759,10487,32994,10116,15393,35776,1826,1546,10258,13194,50276,5679,15661,4010,3759,13188,11435,2440,1260
