Country Name,GDP (millions U$dollor),GDP Per Capita (U$dollor),Population
Afghanistan,19101353833,502,38041754
Albania,15278077447,5353,2854191
Algeria,169988236398,3948,43053054
Andorra,3154057987,40886,77142
Angola,94635415870,2974,31825295
Antigua and Barbuda,1727759259,17790,97118
Arab World,2815410447182,6580,427870270
Argentina,449663446954,10006,44938712
Armenia,13672802158,4623,2957731
Australia,1392680589329,54907,25364307
Austria,446314739528,50277,8877067
Azerbaijan,48047647059,4794,10023318
"Bahamas, The",12827000000,32933,389482
Bahrain,38574069149,23504,1641172
Bangladesh,302571254131,1856,163046161
Barbados,5209000000,18148,287025
Belarus,63080457023,6663,9466856
Belgium,529606710418,46117,11484055
Belize,1879613600,4815,390353
Benin,14390709095,1219,11801151
Bolivia,40895322865,3552,11513100
Bosnia and Herzegovina,20047848435,6073,3301000
Botswana,18340510789,7961,2303697
Brazil,1839758040766,8717,211049527
Bulgaria,67927179737,9738,6975761
Burkina Faso,15745810235,775,20321378
Burundi,3012334882,261,11530580
Cabo Verde,1981845741,3604,549935
Cambodia,27089389787,1643,16486542
Cameroon,38760467033,1498,25876380
Canada,1736425629520,46195,37589262
Caribbean small states,76290373254,10308,7401381
Central African Rep.,2220307369,468,4745185
Central Europe and the Baltics,1656928913108,16184,102378579
Chad,11314951343,710,15946876
Chile,282318159745,14896,18952038
China,14342902842916,10262,1397715000
Colombia,323802808108,6432,50339443
Comoros,1185728677,1394,850886
Dem. Rep. Congo,47319624204,545,86790567
Congo,10820591131,2011,5380508
Costa Rica,61773944174,12238,5047561
Côte d'Ivoire,58792205642,2286,25716544
Croatia,60415553039,14853,4067500
Cyprus,24564647935,27858,1198575
Czech Republic,246489245495,23102,10669709
Denmark,348078018464,59822,5818553
Djibouti,3318716359,3409,973560
Dominica,596033333,8300,71808
Dominican Republic,88941298258,8282,10738958
Early-demographic dividend,11981574482647,3641,3290290622
East Asia & Pacific,26979805534123,11527,2340628292
East Asia & Pacific (excluding high income),17214358920072,8222,2093675040
East Asia & Pacific (IDA & IBRD countries),17181503825381,8308,2067984156
Ecuador,107435665000,6184,17373662
"Egypt, Arab Rep.",303175127598,3020,100388073
El Salvador,27022640000,4187,6453553
Equatorial Guinea,11026774945,8132,1355986
Estonia,31386949981,23660,1326590
Eswatini,4405405802,3837,1148130
Ethiopia,96107662398,858,112078730
Euro area,13335843259020,38926,342597698
Europe & Central Asia,22748788538190,24696,921140092
Europe & Central Asia (excluding high income),3239459350298,8111,399404587
Europe & Central Asia (IDA & IBRD countries),4142093595765,8989,460799505
European Union,15592795166700,34843,447512041
Fiji,5535548972,6220,889953
Finland,268761201365,48686,5520314
Fragile and conflict affected situations,1748172226308,2190,798138587
France,2715518274227,40494,67059887
Gabon,16657960228,7667,2172579
"Gambia, The",1763819048,751,2347706
Georgia,17743195770,4769,3720382
Germany,3845630030824,46259,83132799
Ghana,66983634224,2202,30417856
Greece,209852761469,19583,10716322
Grenada,1228170370,10966,112003
Guatemala,76710385880,4620,16604026
Guinea,13590281809,1064,12771246
Guinea-Bissau,1340389411,698,1920922
Guyana,4280443645,5468,782766
Haiti,8498981821,755,11263077
Heavily indebted poor countries (HIPC),759266600604,947,801708035
High income,55045371946278,44540,1235852827
Honduras,25095395475,2575,9746117
"Hong Kong SAR, China",366029556273,48756,7507400
Hungary,160967157504,16476,9769949
IBRD only,31618204428932,6565,4816235951
Iceland,24188035739,66945,361313
IDA & IBRD total,33912132433933,5228,6486934851
IDA blend,989721112791,1762,561572202
IDA only,1315248865134,1186,1109126698
IDA total,2301372398525,1377,1670698900
India,2875142314812,2104,1366417754
Indonesia,1119190780753,4136,270625568
Iraq,234094042939,5955,39309783
Ireland,388698711348,78661,4941444
Israel,395098666122,43641,9053300
Italy,2001244392042,33190,60297396
Jamaica,16458071068,5582,2948279
Japan,5081769542380,40247,126264931
Jordan,43743661972,4330,10101694
Kazakhstan,180161741180,9731,18513930
Kenya,95503088538,1817,52573973
Kiribati,194647202,1655,117606
"Korea, Rep.",1642383217167,31762,51709098
Kosovo,7926108374,4418,1794248
Kuwait,134761198946,32032,4207083
Kyrgyz Republic,8454619608,1309,6456900
Lao PDR,18173839128,2535,7169455
Late-demographic dividend,22985816197741,10000,2298470832
Latin America & Caribbean,5719252824663,8847,646430841
Latin America & Caribbean (excluding high income),5136327518156,8368,613773128
Latin America & the Caribbean (IDA & IBRD countries),5474751287357,8681,630644770
Latvia,34117202555,17836,1912789
Least developed countries: UN classification,1105397168764,1070,1033388876
Lebanon,53367042272,7784,6855713
Lesotho,2460072444,1158,2125268
Liberia,3070518100,622,4937374
Libya,52076250948,7684,6777452
Lithuania,54219315600,19455,2786844
Luxembourg,71104919108,114705,619896
"Macao SAR, China",53859116536,84096,640445
Madagascar,14083906357,522,26969307
Malawi,7666704427,412,18628747
Malaysia,364701517788,11415,31949777
Maldives,5729248472,10791,530953
Mali,17510141171,891,19658031
Malta,14786156563,29416,502653
Mauritania,7593752450,1678,4525696
Mauritius,14180444557,11204,1265711
Mexico,1258286717125,9863,127575529
Middle East & North Africa,3701386017856,8105,456707404
Moldova,11955435457,4499,2657637
Mongolia,13852850259,4295,3225167
Montenegro,5494736901,8832,622137
Morocco,118725279596,3204,36471769
Mozambique,14934159926,492,30366036
Myanmar,76085852617,1408,54045420
Namibia,12366527719,4957,2494530
Nauru,118223430,9397,12581
Nepal,30641380604,1071,28608710
Netherlands,909070395161,52448,17332850
New Zealand,206928765544,42084,4917000
Nicaragua,12520915291,1913,6545502
Niger,12928145120,555,23310715
Nigeria,448120428859,2230,200963599
North America,23117758029454,63182,365892703
North Macedonia,12694823394,6093,2083459
Norway,403336363636,75420,5347896
OECD members,53581268885789,39399,1359963500
Oman,76983094928,15474,4974986
Pacific island small states,10456001897,4193,2493696
Pakistan,278221906023,1285,216565318
Panama,66800800000,15731,4246439
Papua New Guinea,24969611435,2845,8776109
Paraguay,38145288940,5415,7044636
Peru,226848050820,6978,32510453
Philippines,376795508680,3485,108116615
Poland,592164400688,15595,37970874
Portugal,237686075635,23145,10269417
Post-demographic dividend,50671271399767,45530,1112914457
Pre-demographic dividend,1391261013602,1472,944902749
Puerto Rico,104988600000,32874,3193694
Qatar,183466208791,64782,2832067
Romania,250077444017,12920,19356544
Russia,1699876578871,11585,144373535
Rwanda,10122472590,802,12626950
Samoa,850655017,4316,197097
Sao Tome and Principe,429016605,1995,215056
Saudi Arabia,792966838162,23140,34268528
Senegal,23578084052,1447,16296364
Serbia,51409167351,7402,6944975
Seychelles,1698843063,17402,97625
Sierra Leone,3941474311,504,7813215
Singapore,372062527489,65233,5703569
Slovak Republic,105422304976,19329,5454073
Slovenia,53742159517,25739,2087946
Small states,525221276647,12731,41255484
Solomon Islands,1425074226,2128,669823
South Africa,351431649241,6001,58558270
South Asia,3597970348648,1960,1835776742
South Asia (IDA & IBRD),3597970348648,1960,1835776742
Spain,1394116310769,29614,47076781
