Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,AFG,543,591,642,637,614,578,547,556,524,502
Albania,ALB,4094,4437,4248,4413,4579,3953,4124,4531,5284,5353
Algeria,DZA,4481,5456,5592,5500,5493,4178,3946,4044,4115,3948
Andorra,AND,40853,43335,38686,39539,41304,35763,37475,38963,41793,40886
Angola,AGO,3588,4615,5100,5255,5408,4167,3506,4096,3290,2974
Antigua and Barbuda,ATG,13049,12746,13272,12910,13502,14286,15198,15383,16727,17790
Arab World,ARB,5934,6868,7465,7520,7457,6388,6097,6102,6603,6580
Argentina,ARG,10386,12849,13083,13080,12335,13789,12790,14592,11684,10006
Armenia,ARM,3218,3526,3682,3838,3986,3607,3592,3915,4220,4623
Aruba,ABW,23513,24986,24714,26189,26648,27981,28281,29008,,20310
Australia,AUS,52022,62518,68012,68150,62511,56756,49971,54066,57396,54907
Austria,AUT,46858,51375,48568,50717,51717,44178,45238,47549,51525,50277
Azerbaijan,AZE,5843,7190,7496,7876,7891,5500,3881,4147,4740,4794
"Bahamas, The",BHS,28443,28006,29486,28768,29445,31406,31589,31827,32218,32933
Bahrain,BHR,20722,22514,23654,24744,24989,22689,22619,23709,23991,23504
Bangladesh,BGD,781,862,883,982,1119,1248,1402,1564,1698,1856
Barbados,BRB,16056,16458,16250,16451,16489,16525,16900,17391,17745,18148
Belarus,BLR,6029,6519,6940,7979,8319,5949,5023,5762,6330,6663
Belgium,BEL,44142,47349,44673,46745,47701,40992,41998,44289,47491,46117
Belize,BLZ,4271,4423,4506,4569,4706,4776,4818,4888,4885,4815
Benin,BEN,1037,1130,1145,1251,1291,1077,1087,1137,1241,1219
Bermuda,BMU,88207,85973,85458,85748,,,,,,101208
Bhutan,BTN,2258,2563,2539,2473,2652,2753,2931,3287,3243,3431
Bolivia,BOL,1955,2346,2610,2908,3082,3036,3077,3351,3549,3552
Bosnia and Herzegovina,BIH,4636,5093,4779,5131,5330,4727,4995,5395,6072,6073
Botswana,BWA,6435,7617,7070,7225,7781,6800,7244,7893,8280,7961
Brazil,BRA,11286,13246,12370,12300,12113,8814,8710,9925,9001,8717
Brunei Darussalam,BRN,35270,47056,47741,44740,41727,31165,27158,28572,31628,31087
Bulgaria,BGR,6810,7806,7393,7652,7874,7054,7546,8331,9424,9738
Burkina Faso,BFA,648,751,758,787,793,653,688,738,820,775
Burundi,BDI,234,250,252,257,275,306,282,293,272,261
Cabo Verde,CPV,3378,3740,3448,3616,3589,3043,3131,3293,3617,3604
Cambodia,KHM,786,882,951,1013,1093,1163,1270,1385,1512,1643
Cameroon,CMR,1287,1405,1355,1466,1543,1328,1364,1425,1534,1498
Canada,CAN,47448,52087,52678,52653,50893,43586,42322,45149,46313,46195
Caribbean small states,CSS,9087,9762,10017,10140,10202,9940,9385,9558,9982,10308
Cayman Islands,CYM,73351,72328,72783,73516,74990,76280,78296,81125,85477,85474
Central African Rep.,CAF,488,552,566,380,424,377,402,451,476,468
Central Europe and the Baltics,CEB,12576,13889,13016,13718,14162,12494,12793,14198,15967,16184
Chad,TCD,893,985,967,980,1020,776,693,666,726,710
Chile,CHL,12808,14637,15352,15843,14671,13574,13754,14999,15925,14896
China,CHN,4550,5618,6317,7051,7679,8067,8148,8879,9977,10262
Colombia,COL,6337,7335,8050,8218,8114,6176,5871,6378,6719,6432
Comoros,COM,1316,1448,1403,1505,1514,1243,1273,1324,1416,1394
Dem. Rep.Congo,COD,334,387,425,458,487,497,471,467,557,545
Congo,COG,2812,3287,3032,3048,2997,1762,1815,1768,2224,2011
Costa Rica,CRI,8142,9122,9913,10490,10547,11299,11666,11815,12112,12238
Cote d'Ivoire,CIV,1213,1209,1243,1416,1561,1973,2013,2111,2303,2286
Croatia,HRV,13924,14567,13238,13642,13600,11783,12360,13412,14920,14853
Cuba,CUB,5730,6140,6497,6838,7133,7694,8061,8541,8822,8822
Curacao,CUW,,20146,20587,20463,20258,19951,19555,19458,19574,19219
Cyprus,CYP,31024,32396,28912,27729,27130,23334,24533,26339,28690,27858
